"Date","AIG","BA","CAT","IBM","JNJ","MMM","MO","PG","RTX","XOM"
2000-03-31,855.638305664062,24.490894317627,10.2190322875977,58.3182640075684,17.8057594299316,18.1883964538574,1.04618036746979,14.1395072937012,11.4984693527222,17.1685695648193
2000-06-30,918.5546875,27.1809902191162,8.84913921356201,54.0418701171875,25.9152145385742,17.1565017700195,1.36297404766083,14.2053804397583,10.7461767196655,17.3724117279053
2000-09-30,1122.53527832031,42.050651550293,8.17592906951904,55.6145820617676,23.9751567840576,18.9500923156738,1.53795123100281,16.8725109100342,12.7025451660156,19.8279285430908
2000-12-31,1156.71923828125,43.1211700439453,12.6188468933105,42.026683807373,26.9059219360352,25.2133693695068,2.33053779602051,19.8475399017334,14.4445066452026,19.4389820098877
2001-03-31,945.152709960938,36.5075988769531,11.9268274307251,47.6086196899414,22.475772857666,21.8551845550537,2.54041934013367,15.917519569397,13.5054845809937,18.2063579559326
2001-06-30,998.553955078125,36.5316047668457,13.545654296875,56.249885559082,25.7669982910156,24.1232395172119,2.67909216880798,16.322172164917,13.5364799499512,19.7348384857178
2001-09-30,916.684936523438,22.078104019165,12.2045602798462,45.5158386230469,28.6666927337646,20.9204082489014,2.64546895027161,18.72385597229,8.61884593963623,17.9029884338379
2001-12-31,933.616455078125,25.6877994537354,14.3410835266113,60.1001472473145,30.6732654571533,25.2619724273682,2.54347085952759,20.4643459320068,12.0267915725708,17.9622116088867
2002-03-31,848.741943359375,32.094108581543,15.7182216644287,51.7415657043457,33.8142547607422,24.7125587463379,2.95424556732178,23.4104614257812,13.8572683334351,20.1517505645752
2002-06-30,803.276123046875,30.0446243286133,13.6194019317627,35.8914489746094,27.3000087738037,26.5590667724609,2.48091197013855,23.4832229614258,12.7246780395508,18.9225978851318
2002-09-30,644.494445800781,22.8917198181152,10.440239906311,29.1314487457275,28.3546237945557,23.8602924346924,2.23360824584961,23.6234569549561,10.6280384063721,14.8463459014893
2002-12-31,682.129943847656,22.2465496063232,12.9413585662842,38.7899398803711,28.2564239501953,26.8827095031738,2.36989665031433,22.8177280426025,11.6994686126709,16.3683891296387
2003-03-31,583.659423828125,16.99147605896,14.0304698944092,39.3317756652832,30.5703010559082,28.4986000061035,1.78346014022827,23.7566947937012,10.9565763473511,16.4841651916504
2003-06-30,651.819946289062,23.4046955108643,15.9788064956665,41.4486083984375,27.4296932220459,28.4188098907471,2.7450647354126,23.9003162384033,13.4853076934814,17.0576210021973
2003-09-30,682.339233398438,23.5342063903809,19.8811740875244,44.4667587280273,26.3973178863525,30.5767726898193,2.68997263908386,25.0040264129639,14.7639608383179,17.5052051544189
2003-12-31,781.599914550781,29.1133117675781,24.3943023681641,46.7159004211426,27.5146522521973,37.4702796936035,3.36047601699829,26.9775161743164,18.1473636627197,19.5929698944092
