q;Strategy;Mean_Wealth;Var_Wealth;Sharpe_Ratio_Analytical;Sharpe_Ratio_Simulated
1;CMV-static;-2.970153964884768;2.1143798559890543;2.6948697566823863;-2.743649989926509
1;CMMV-independent;4.27255967174178;0.46307925704123626;13.209357010975248;4.780604119187736
1;CMMV;9.347684670330993;1.8344706513438898;19.627770701658502;6.148966911046203
2;CMV-static;-3.7516215931418024;1.9128535759098166;3.3721622653221015;-3.4495866991891853
2;CMMV-independent;27.77193163221618;10.275439510529468;34.36428475844624;8.345748608563884
2;CMMV;84.4595023600521;73.98292806884378;60.297696579361805;9.700838351591235
3;CMV-static;-3.885991404034792;1.875411641437948;3.547627161121975;-3.5819704820571143
3;CMMV-independent;44.86533338342261;23.372344139080056;43.83147724654511;9.069400057593217
3;CMMV;180.62173173294;273.49794044874926;88.58393101290797;10.86013020918411
4;CMV-static;-3.913463729627542;1.8800893385725201;3.601653132782847;-3.5975474791060864
4;CMMV-independent;51.959234229511516;30.97020263262997;47.21654697734538;9.15347136753144
4;CMMV;275.1953851300015;568.4756529056859;109.57889638908519;11.499356501540415
5;CMV-static;-3.9610257445797963;1.8839418158055619;3.663224713425669;-3.628519136005257
5;CMMV-independent;61.381979920459706;42.4062487036095;51.3773888866013;9.269432331765017
5;CMMV;348.646565292905;859.4668674729784;123.48410645957347;11.857665223514404
6;CMV-static;-3.991644204164584;1.8944447105954814;3.705750553762405;-3.6406923219948886
6;CMMV-independent;68.84761405366793;53.459546437944674;54.45183858123195;9.276795651623878
6;CMMV;414.0510394495563;1165.6445372017474;134.67244653150925;12.09762991731099
7;CMV-static;-4.01278808334465;1.9071382485144737;3.7386234985497317;-3.6438668758962334
7;CMMV-independent;75.2247622928294;63.16211017543885;56.9470060976882;9.336996508668557
7;CMMV;479.92994770325237;1510.8903389990085;145.08839912350402;12.320773237611109
8;CMV-static;-4.040267854659619;1.8944959760646802;3.763754646473135;-3.6759695713217755
8;CMMV-independent;80.4862067444503;69.90454625649035;58.927092112873716;9.504587183066523
8;CMMV;512.0680066876331;1691.5980979843848;149.90956166494848;12.425493506678432
9;CMV-static;-4.042519464153625;1.902578839308598;3.7712534855754862;-3.669785198494272
9;CMMV-independent;82.12383612913514;73.06395541141602;59.53041954371288;9.488405195026164
9;CMMV;532.5937169039634;1811.9303122786616;152.9084850713436;12.488011084212042
10;CMV-static;-4.043700643305803;1.906992978893858;3.7758594494973887;-3.6663908347002527
10;CMMV-independent;83.14561204246715;75.1219041019866;59.90388576010027;9.475425012792975
10;CMMV;541.8324488219504;1866.210002947701;154.24139497853918;12.518922064902256
